,Keyword,Rank_collegedunia.com,URL_collegedunia.com,Rank_prepp.in,URL_prepp.in,Rank_shiksha.com,URL_shiksha.com,Rank_careers360.com,URL_careers360.com,Rank_collegedekho.com,URL_collegedekho.com,Rank_aglasem.com,URL_aglasem.com,Rank_embibe.com,URL_embibe.com,Rank_leverageedu.com,URL_leverageedu.com,Rank_buddy4study.com,URL_buddy4study.com,Unnamed: 0,Tag,Search Volume,Category,Exam Tag,new_tag
81,California Polytechnic State University,13,https://collegedunia.com/usa/college/1999-california-polytechnic-state-university-san-luis-obispo,,,4,https://studyabroad.shiksha.com/usa/universities/california-polytechnic-state-university,,,26,https://www.collegedekho.com/usa/california-polytechnic-state-university/,,,,,,,,,12742,Study_Abroad,720,College,,Study_Abroad-College-LS
82,Universiti Teknologi Malaysia,9,https://collegedunia.com/malaysia/college/736-universiti-teknologi-malaysia-skudai,,,4,https://studyabroad.shiksha.com/malaysia/universities/universiti-teknologi-malaysia,,,,,,,,,,,,,12743,Study_Abroad,590,College,,Study_Abroad-College-LS
83,Universiti Teknologi Malaysia,10,https://collegedunia.com/malaysia/college/736-universiti-teknologi-malaysia-skudai,,,4,https://studyabroad.shiksha.com/malaysia/universities/universiti-teknologi-malaysia,,,,,,,,,,,,,12743,Study_Abroad,590,College,,Study_Abroad-College-LS
84,Universiti Teknologi Malaysia,11,https://collegedunia.com/malaysia/college/736-universiti-teknologi-malaysia-skudai/reviews,,,4,https://studyabroad.shiksha.com/malaysia/universities/universiti-teknologi-malaysia,,,,,,,,,,,,,12743,Study_Abroad,590,College,,Study_Abroad-College-LS
85,Curtis Institute of Music,17,https://collegedunia.com/usa/college/1830-curtis-institute-of-music-philadelphia,,,,,,,,,,,,,,,,,12744,Study_Abroad,590,College,,Study_Abroad-College-LS
86,Yale University fees,6,https://collegedunia.com/usa/college/1699-yale-university-new-haven,,,1,https://studyabroad.shiksha.com/usa/universities/yale-university,,,12,https://www.collegedekho.com/usa/yale-university/course-fees/,,,,,39,https://leverageedu.com/universities/yale-university,25,https://admission.buddy4study.com/study-abroad/yale-university,12745,Study_Abroad,590,College,,Study_Abroad-College-LS
87,McMaster University fees,6,https://collegedunia.com/canada/college/40-mcmaster-university-hamilton,,,1,https://studyabroad.shiksha.com/canada/universities/mcmaster-university,,,9,https://www.collegedekho.com/canada/mcmaster-university/,,,,,,,,,12746,Study_Abroad,590,College,,Study_Abroad-College-LS
88,University of Hertfordshire fees,7,https://collegedunia.com/uk/college/819-university-of-hertfordshire-hatfield,,,6,https://studyabroad.shiksha.com/uk/universities/university-of-hertfordshire,,,11,https://www.collegedekho.com/united-kingdom/university-of-hertfordshire/,,,,,33,https://leverageedu.com/universities/university-of-hertfordshire,,,12747,Study_Abroad,590,College,,Study_Abroad-College-LS
89,University of Calgary fees,7,https://collegedunia.com/canada/college/10-university-of-calgary-calgary,,,6,https://studyabroad.shiksha.com/canada/universities/university-of-calgary,,,,,,,,,,,,,12748,Study_Abroad,590,College,,Study_Abroad-College-LS
90,New York University fees,6,https://collegedunia.com/usa/college/1713-new-york-university-new-york-city,,,5,https://studyabroad.shiksha.com/usa/universities/new-york-university,,,10,https://www.collegedekho.com/usa/new-york-university/,,,,,31,https://leverageedu.com/universities/new-york-university,,,12749,Study_Abroad,590,College,,Study_Abroad-College-LS
91,Arizona State University fees,9,https://collegedunia.com/usa/college/2110-arizona-state-university-tempe,,,6,https://studyabroad.shiksha.com/usa/universities/arizona-state-university,,,12,https://www.collegedekho.com/usa/arizona-state-university/,,,,,,,,,12750,Study_Abroad,590,College,,Study_Abroad-College-LS
